vol_model,dist,aic,bic,cond_mean,cond_sd,ci95_lower,ci95_upper,real_next,in_CI,P_next_negative,LB_resid_p(10),LB_sqresid_p(10)
GARCH,normal,7442.762500918296,7465.576337109765,0.042697219385780506,1.0839036386258838,-2.08171487503287,2.167109313804431,-0.8587373570354294,True,0.48428889692845023,0.4727459375339206,0.38246505212189663
GARCH,t,7374.885777389418,7403.403072628754,0.032212097715673925,1.0792893125443592,-2.1228921185331404,2.1873163139644887,-0.8587373570354294,True,0.4867087060596519,0.46937504686196485,0.12442943245199599
GARCH,skewt,7376.8854018192105,7411.106156106413,0.03234821780233666,1.0793178852829386,-2.122181151321286,2.188151020095818,-0.8587373570354294,True,0.4867581048738118,0.46939063215065524,0.1242349004638536
EGARCH,normal,7445.674010191613,7468.487846383082,0.038048845925395744,1.0672625687080213,-2.0537473507900312,2.1298450426408224,-0.8587373570354294,True,0.4857803702896808,0.45350062152925885,0.08766215749498772
EGARCH,t,7377.090697231281,7405.607992470617,0.03034576363631584,1.0615977531650735,-2.0896381768960275,2.1503297041686595,-0.8587373570354294,True,0.4872484240812087,0.43601907596082684,0.001933431539795154
EGARCH,skewt,7379.081166850225,7413.301921137428,0.031006854851525656,1.0618325372913082,-2.0862936040254985,2.154653266662275,-0.8587373570354294,True,0.48750708923401265,0.43617877300153535,0.0019104050787466925
GJR-GARCH,normal,7386.628083543305,7415.145378782641,0.010415628084999354,1.0298834450216274,-2.008118832431428,2.028950088601426,-0.8587373570354294,True,0.49596540403901246,0.5351220586441994,0.26217529265547235
GJR-GARCH,t,7339.0867579383375,7373.30751222554,0.009455775281393998,1.0187432569784423,-2.0223138048522307,2.041225355415018,-0.8587373570354294,True,0.49593141370397165,0.5230685427338994,0.3087943796045488
GJR-GARCH,skewt,7341.083100490517,7381.007313825587,0.00907550923763749,1.0186568521396118,-2.0243420446093525,2.038829373900621,-0.8587373570354294,True,0.4957745372912075,0.5228036700017614,0.3091962330795506
